Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
a0f7c1cfa96808f66fe13ccf2ef53e8f;02/05/2019;30/06/2022;Operacao Especial;Crimes de Corrupção                                                                                                             ;SP;DPF/MII/SP                                                      ;Nao;                                                                                                                                ;0;0;0;6;;;;;0;0;0;0;0;0;0;0;0;0
5dd5319234a1cfb6f9f18e002c043c69;01/04/2020;30/06/2022;Operacao Especial;Crimes de Corrupção                                                                                                             ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;0;0;0;13;R$ 559.327,00;;;R$ 4.999.991,00;0;0;0;0;0;0;0;0;0;0
3c500379b0154348fec80c48b9c1e699;26/02/2021;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;ES;DPF/CIT/ES                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
3739e27ff1f378f41140535c114c4466;03/12/2021;30/06/2022;Operacao Comum   ;Crimes Previdenciários                                                                                                          ;SP;DPF/CAS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;2;;;;R$ 1.200.000,00;0;0;0;0;0;0;0;0;0;0
221848b4380483af34f9a02bc5335818;09/02/2022;30/06/2022;Operacao Especial;Tráfico de Drogas                                                                                                               ;PI;SR/PF/PI                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
f8b96236900b6b922a6be63037854d2c;21/03/2022;30/06/2022;Operacao Especial;Crimes Fazendários                                                                                                              ;SC;DPF/CCM/SC                                                      ;Nao;                                                                                                                                ;1;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
20a01e14f68fb7d21e627cd9cd1c93aa;19/05/2022;30/06/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;SP;DPF/PCA/SP                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
41fc61c28d1949af17dbe967e205b4a1;10/06/2022;30/06/2022;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;3;;;;;0;0;0;0;0;0;0;0;0;0
93afab528f766cb76bb911671b0f98c4;23/06/2022;30/06/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c35856e3897f563b11f002882293f5e4;30/06/2022;30/06/2022;Operacao Especial;Crimes de Corrupção                                                                                                             ;SP;DPF/CZO/SP                                                      ;Nao;                                                                                                                                ;0;0;0;1;R$ 205.000,00;;R$ 1.800.000,00;R$ 2.242.112,00;0;0;0;0;0;0;0;0;0;0
d7729822c1f1f9643cd486506295800f;30/06/2022;30/06/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
77ee28cfe4227e5ba30b75fe9184224a;30/06/2022;30/06/2022;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;GO;SR/PF/GO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
26175b87805bf0e1e449f6709d5374c8;30/06/2022;30/06/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;R$ 62.183,00;;;;0;0;0;0;0;0;0;0;0;0
f1513e53e0b2b3561e6f1521d7a300c9;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/SBA/RS                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;0;R$ 58.200,00;;;;0;0;0;0;0;0;0;0;0;0
0795c9d4a3316baae116de81d2e5012a;30/06/2022;30/06/2022;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
0abe1ed5150cfed205c906a2772e8d6a;30/06/2022;30/06/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$ 90.527,00;;;;0;0;0;0;0;0;0;0;0;0
3e5c39e6359d13d57826c85e119ed584;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$ 118.354,00;;;;0;0;0;0;0;0;0;0;0;0
b6a9c87f9232d1b666ca857676a3a038;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/CXS/RS                                                      ;Nao;                                                                                                                                ;0;1;0;0;R$ 1.455.000,00;;;R$ 1.250.000,00;0;0;0;0;0;0;0;0;0;0
264a468d85f36b26d4ed53d2a1811893;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;PI;SR/PF/PI                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d5e7d71a30d24993e2823921ff411a5c;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;DPF/DCQ/SC                                                      ;Nao;Argentina                                                                                                                       ;1;0;0;0;R$ 658.306,00;;;R$ 411.140,00;0;0;0;0;0;0;0;0;0;0
db75908cc3cf1a96711ef6fa2eb38bdd;30/06/2022;30/06/2022;Operacao Simples ;Tráfico de Armas                                                                                                                ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b11e938b10b583bc7cc73012aba930f8;30/06/2022;30/06/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/PCA/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ea73038fb130a7acf48f268b28e22c8a;30/06/2022;30/06/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/BRU/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
351bb5d1f23536ff224d3ab2f101449e;30/06/2022;30/06/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;TO;SR/PF/TO                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
1a18be5fc0a00b43a51b9fa3d99c401c;30/06/2022;30/06/2022;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RJ;DPF/NIG/RJ                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b615a9d39eb3a26b32756e95a3b33c2b;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;SP;DPF/STS/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$ 487.930,00;;;R$ 257.140,00;0;0;0;0;0;0;0;0;0;0
bb6be86ee5fee71b737ca41c334165ea;30/06/2022;30/06/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
0eb798f893e81ba56160e112aafa3a65;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;SR/PF/PR                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
84ac1eb4ed70be64e24e2f18deb9b90e;30/06/2022;30/06/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;1;0;0;0;R$ 3.958,00;;;;0;0;0;0;0;0;0;0;0;0
1d867aac32eab8d2484c111ed7201a4c;30/06/2022;30/06/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f26d5b8c9d496fb96e98ed6faa7b491a;30/06/2022;30/06/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;DPF/CCM/SC                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$ 1.300,00;;;;0;0;0;0;0;0;0;0;0;0
9822c60cbd44380eab51af4199d17be4;30/06/2022;30/06/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;SP;DPF/GRU/SP - AIN                                                ;Nao;                                                                                                                                ;2;0;0;0;R$ 8.088,00;;;;0;0;0;0;0;0;0;0;0;0
